(z2,s3,pot_s3,s2,pot_s2,z1,s1,pot_s1,s0)
125:(0,0,3,0,6,0,1,14,1)
126:(0,0,3,0,9,0,0,0,0)
127:(0,0,3,0,9,0,0,0,1)
128:(0,0,3,0,9,0,0,3,0)
129:(0,0,3,0,9,0,0,3,1)
130:(0,0,3,0,9,0,0,6,0)
131:(0,0,3,0,9,0,0,6,1)
132:(0,0,3,0,9,0,0,9,0)
133:(0,0,3,0,9,0,0,9,1)
134:(0,0,3,0,9,0,0,12,0)
135:(0,0,3,0,9,0,0,12,1)
136:(0,0,3,0,9,0,1,11,0)
137:(0,0,3,0,9,0,1,11,1)
138:(0,0,3,0,9,0,1,14,0)
139:(0,0,3,0,9,0,1,14,1)
140:(0,0,3,1,9,0,0,0,0)
141:(0,0,3,1,9,0,0,0,1)
142:(0,0,3,1,9,0,0,3,0)
143:(0,0,3,1,9,0,0,3,1)
144:(0,0,3,1,9,0,0,6,0)
145:(0,0,3,1,9,0,0,6,1)
146:(0,0,3,1,9,0,0,9,0)
147:(0,0,3,1,9,0,0,9,1)
148:(0,0,3,1,9,0,0,12,0)
149:(0,0,3,1,9,0,0,12,1)
150:(0,0,3,1,9,0,1,11,0)
151:(0,0,3,1,9,0,1,11,1)
152:(0,0,3,1,9,0,1,14,0)
153:(0,0,3,1,9,0,1,14,1)
154:(0,0,3,1,12,0,0,0,0)
155:(0,0,3,1,12,0,0,0,1)
156:(0,0,3,1,12,0,0,3,0)
157:(0,0,3,1,12,0,0,3,1)
158:(0,0,3,1,12,0,0,6,0)
159:(0,0,3,1,12,0,0,6,1)
160:(0,0,3,1,12,0,0,9,0)
161:(0,0,3,1,12,0,0,9,1)
162:(0,0,3,1,12,0,0,12,0)
163:(0,0,3,1,12,0,0,12,1)
164:(0,0,3,1,12,0,1,11,0)
165:(0,0,3,1,12,0,1,11,1)
166:(0,0,3,1,12,0,1,14,0)
167:(0,0,3,1,12,0,1,14,1)
168:(0,0,6,0,0,0,0,0,0)
169:(0,0,6,0,0,0,0,0,1)
170:(0,0,6,0,0,0,0,3,0)
171:(0,0,6,0,0,0,0,3,1)
172:(0,0,6,0,0,0,0,6,0)
173:(0,0,6,0,0,0,0,6,1)
174:(0,0,6,0,0,0,0,9,0)
175:(0,0,6,0,0,0,0,9,1)
176:(0,0,6,0,0,0,0,12,0)
177:(0,0,6,0,0,0,0,12,1)
178:(0,0,6,0,0,0,1,11,0)
179:(0,0,6,0,0,0,1,11,1)
180:(0,0,6,0,0,0,1,14,0)
181:(0,0,6,0,0,0,1,14,1)
182:(0,0,6,0,3,0,0,0,0)
183:(0,0,6,0,3,0,0,0,1)
184:(0,0,6,0,3,0,0,3,0)
185:(0,0,6,0,3,0,0,3,1)
186:(0,0,6,0,3,0,0,6,0)
187:(0,0,6,0,3,0,0,6,1)
188:(0,0,6,0,3,0,0,9,0)
189:(0,0,6,0,3,0,0,9,1)
190:(0,0,6,0,3,0,0,12,0)
191:(0,0,6,0,3,0,0,12,1)
192:(0,0,6,0,3,0,1,11,0)
193:(0,0,6,0,3,0,1,11,1)
194:(0,0,6,0,3,0,1,14,0)
195:(0,0,6,0,3,0,1,14,1)
196:(0,0,6,0,6,0,0,0,0)
197:(0,0,6,0,6,0,0,0,1)
198:(0,0,6,0,6,0,0,3,0)
199:(0,0,6,0,6,0,0,3,1)
200:(0,0,6,0,6,0,0,6,0)
201:(0,0,6,0,6,0,0,6,1)
202:(0,0,6,0,6,0,0,9,0)
203:(0,0,6,0,6,0,0,9,1)
204:(0,0,6,0,6,0,0,12,0)
205:(0,0,6,0,6,0,0,12,1)
206:(0,0,6,0,6,0,1,11,0)
207:(0,0,6,0,6,0,1,11,1)
208:(0,0,6,0,6,0,1,14,0)
209:(0,0,6,0,6,0,1,14,1)
210:(0,0,6,0,9,0,0,0,0)
211:(0,0,6,0,9,0,0,0,1)
212:(0,0,6,0,9,0,0,3,0)
213:(0,0,6,0,9,0,0,3,1)
214:(0,0,6,0,9,0,0,6,0)
215:(0,0,6,0,9,0,0,6,1)
216:(0,0,6,0,9,0,0,9,0)
217:(0,0,6,0,9,0,0,9,1)
218:(0,0,6,0,9,0,0,12,0)
219:(0,0,6,0,9,0,0,12,1)
220:(0,0,6,0,9,0,1,11,0)
221:(0,0,6,0,9,0,1,11,1)
222:(0,0,6,0,9,0,1,14,0)
